race_id,max_verstappen,norris,leclerc,piastri,sainz,russell,hamilton,perez,alonso,gasly,hulkenberg,tsunoda,stroll,ocon,kevin_magnussen,albon,ricciardo,bearman,colapinto,zhou,lawson,bottas,sargeant,doohan
austria_2024,1707.2199428986507,1233.9654416927003,1272.7613053422306,1577.6097819730453,1463.3935606321604,1649.7440576872561,1562.02046289992,1253.723184752412,993.3199268630667,1216.416685262281,1258.574507071832,968.5908051560039,1089.4428085877576,1131.6127441083631,1091.1467024613237,887.6349753078227,1153.7445431172112,,,905.7109200716803,,906.6114910780149,661.8547375720949,
hungary_2024,1651.7639595455853,1417.8521113529098,1392.4128668290127,1656.4911400213211,1459.6717168210241,1524.3829526244892,1596.7346642316395,1317.0551233227388,1078.699047323545,946.6269897089621,1172.4332568461934,1117.2727895540609,1155.4471810444,959.0366358369075,1032.1330496144824,945.7126385520443,1143.1586615387553,,,810.8260438341637,,901.3788651103907,706.0088908232008,
belgium_2024,1637.2775587741912,1465.4767690806252,1490.7499496329917,1689.132347673155,1463.6053171834722,1133.1471718681835,1679.2323720882605,1360.480084509636,1200.7111009502344,993.0588737964458,978.7200834834563,1011.2273112663747,1166.9833947996954,1113.5043541303723,1020.136839722079,1021.0009064053688,1181.462216480102,,,727.6989258095657,,916.6635427289795,734.8294641526377,
british_2024,1680.6959210724547,1539.8945199715727,1247.7224635401676,1667.713467984872,1493.218893323579,924.4946371118502,1741.444939579504,1105.202703082296,1269.858607734655,860.8642286124839,1196.588856147929,1111.6983634221474,1267.5304844453754,999.2756146644483,1057.8378751828293,1140.2515665915994,1109.4006465277064,,,727.7149010479966,,924.3736896763935,919.3162048159684,
dutch_2024,1717.3376634039987,1639.4068230424184,1398.7092052737744,1648.724873311872,1504.7653254056381,1129.2180328468805,1586.670790052733,1246.2320295083507,1248.063876981063,1044.3711182287389,1178.9916572558543,972.297078774244,1165.1833443352878,975.182035107883,925.9158486088256,1079.8992741691857,1118.592746693803,,,668.3299241409796,,828.2276684791261,908.9792689151714,
italian_2024,1633.2713006096055,1662.776033632228,1547.2583556039633,1690.1286281576567,1540.5833476213875,1246.8481660328625,1565.284313421474,1288.0065906524462,1207.180636247103,990.5070642264214,1009.1371758580252,827.1284610337331,957.8491308259592,992.9346090464092,1069.111522588832,1178.7551467566109,1089.1526569611162,,1054.8765578143364,680.6290423450669,,844.7005761854195,,
azerbaijan_2024,1609.0046490238262,1652.935958962479,1626.769085370157,1751.6547934267746,1173.475380778269,1410.5903555964728,1447.0846159855716,1070.1986394246496,1328.4178713256406,1050.8527386652179,1082.1111686731965,742.9768853813767,853.3823895907982,973.4434699150132,,1286.531484545238,1081.4867278064203,1195.9974686301023,1185.0797748556522,800.9590531596805,,847.1588371040358,,
singapore_2024,1667.6846935969177,1722.5009500363656,1597.7190306362709,1743.233249377618,1273.8398299046119,1480.6447579073567,1454.0903765893875,1143.5998427388606,1332.866871410388,941.6864070380304,1169.442038048185,896.0111745670532,909.6071183708458,1000.7441865999148,889.3578014111625,981.1408680029615,937.4938620881102,,1182.5302777152908,862.0295460852242,,857.0025200547472,,
united_states_2024,1684.9238603671827,1698.694706858048,1687.7480244028254,1684.9458670015877,1440.979793430075,1480.3039843664333,1070.6508877262036,1257.888632191602,1201.7184661720785,1012.9702190768108,1248.6497499547274,941.3748602801921,924.4346110462343,891.2265159655503,1004.7117578243947,938.8536290254827,,,1196.0991830756607,783.2687609061185,1133.5364236305586,836.2951131393804,,
mexican_2024,1613.2478749018155,1734.4824804329487,1699.0978618980184,1558.5277667434038,1580.0428362334987,1502.5854489236826,1270.9326471891736,1044.0712684878658,974.4314640265442,1117.313703530757,1267.2797634161363,837.1569140865109,1043.5611583424738,967.8134741153001,1170.1992060835005,828.6734414703893,,,1157.4043659385486,840.2676949950957,1006.439541611528,905.7461340139529,,
brazilian_2024,1699.55895156212,1641.793043502125,1643.751344334466,1500.7597291492307,1203.3488818707572,1542.01105849209,1253.5352713344585,1108.8398994831086,989.3752101393761,1320.0283671806878,1042.4796088103503,1066.2027631726314,926.8573333012364,1257.245731485461,,801.5830198088512,,1159.2687493888352,986.2285347649264,891.5547102227123,1132.8916084314444,977.7594925528783,,
las_vegas_2024,1639.885290151415,1577.9413471790956,1628.4237631576186,1468.006361330966,1373.1120367166786,1638.4076278472428,1421.7641281131162,1169.641313973388,1082.8647230606484,1017.5830836907621,1181.5964899684109,1166.3946893787993,939.8418776293554,1055.3734283247134,1156.6175726084102,741.3634278437082,,,1004.9557720733161,978.6362884716498,1024.417755937966,889.1767882251534,,
qatar_2024,1710.2631207872628,1418.6058000031576,1677.6695041626,1543.6259605528987,1406.8114814296896,1627.4823665994684,1273.0491396277655,990.6529518793718,1226.955055546345,1227.6392056220934,992.0664554329137,1118.818080499473,871.9107468456679,937.4780955384136,1214.0806538101194,826.4038847169918,,,909.688417787348,1146.2228588260143,1019.4208239904372,1017.1591620243809,,
abu_dhabi_2024,1623.5334766855578,1558.2357431615692,1681.9019415718394,1405.4493030193116,1526.8096798803151,1590.0477199787797,1394.3222557725474,883.9954031144403,1251.6026454345263,1300.3013890769826,1138.393251476711,1114.108975294804,917.8605210758162,,1050.8605473600746,969.7789353125755,,,827.42063503656,1101.7091877506853,,893.8914184084267,,968.8818167420393
