race_id,max_verstappen,hamilton,bottas,perez,sainz,norris,leclerc,ricciardo,gasly,alonso,ocon,vettel,stroll,tsunoda,russell,raikkonen,latifi,giovinazzi,mick_schumacher,kubica,mazepin
Hungarian Grand Prix_2021,1175.4870348128209,1662.8842093498456,1208.2399835481194,1010.5738245100417,1497.4158389541042,1232.821399765843,1118.5341863513352,1262.6520332132422,1308.661649623003,1410.136661446148,1317.9303937603293,775.2687295679248,994.9583374666835,1285.9900290000749,1165.1167249624848,1077.5865948039307,1108.2336824933789,1017.5567917413675,900.6305916298915,,814.3912880115406
Belgian Grand Prix_2021,1389.9261931310198,1642.1140442746223,1152.8206390322666,875.1820255167303,1344.9414521724182,1125.030978779708,1209.199773478887,1372.4848893980816,1344.204562554907,1275.485601406246,1327.302103574237,1089.2268929124364,842.9425654115222,1122.5091427394027,1363.893222411612,934.2133323287957,1175.2133255898686,1041.847815118235,900.6980844456822,,815.8333407354314
Dutch Grand Prix_2021,1514.1973352856298,1658.2306222915147,1341.5324422711108,1085.5076537736522,1341.8454348989915,1169.8218099114763,1314.3153125499164,1266.1437912598092,1409.8076698044847,1322.8682095600805,1284.793688234594,1076.7825069096448,964.5746983472995,921.3620114295417,1095.2693045802396,,1040.797464249351,1036.8042363449051,845.1101437818826,985.2960267323137,735.7962904668775
Italian Grand Prix_2021,1136.0128624657043,1243.1693541477255,1453.0961706941805,1273.912619046112,1383.1758945034967,1372.795405488443,1403.5489168278132,1440.9771410786643,1066.1077367799764,1318.7704857655897,1248.323758633463,1100.5518885256515,1163.7360532246757,811.8872600097679,1182.1772040882304,,1103.1381713493186,1048.4886049264408,884.6291118497171,992.344258963976,784.0137543143688
Russian Grand Prix_2021,1354.6328139047775,1424.2066799154861,1450.4196464548993,1261.034952828353,1457.9191693422868,1356.9026868598785,1174.611335940656,1471.2241952386846,1065.2226438902371,1358.6609481001587,1128.473164286896,1105.2585125461144,1160.9077233620062,820.5176331633702,1196.7332136288258,1109.5563591404646,921.8702006682769,984.9366167431062,776.557528643113,,773.0797013905446
Turkish Grand Prix_2021,1475.6916380011432,1445.7347129311404,1550.1309881949112,1395.9462738441082,1387.1017015876794,1356.8430953185314,1324.8452494024525,1251.288042486995,1226.9506841707332,1120.3210265682676,1174.5784344369822,956.0168844118479,1218.800115721172,896.4414474680895,1075.1865138352653,1108.8162398221268,882.6886907753341,1071.935281012098,733.2626104393845,,700.1460956198739
United States Grand Prix_2021,1573.0715175557536,1529.6197205316882,1491.9635088130017,1477.1693862062887,1377.3637450026627,1340.2827345057572,1412.0132103011108,1343.8727933045614,941.6801112636205,941.7791729621092,951.8623465863357,1089.0051243798484,1167.3766621444515,1075.407361932125,1035.7792230330422,1081.399494216623,904.5021882130198,1116.5117219034282,778.576495449937,,723.4892077427714
Mexico City Grand Prix_2021,1644.8710854222177,1589.6447122270285,1220.5624454613676,1535.5356417221803,1397.700189815015,1272.6388697236882,1441.7737986110324,1220.9985948595854,1198.133446188516,1080.544123235351,991.7131808923718,1207.9135490255555,1074.5943047477344,870.3938599665216,973.5949896352648,1183.4926094445352,870.2030436398599,1128.677159280124,727.6561572219211,,722.0839649282658
São Paulo Grand Prix_2021,1672.1061331631972,1656.503103205405,1374.33971733095,1540.9190334390692,1406.0025360355237,1240.4754741584427,1457.4101937956077,962.006025441997,1276.6912474421752,1163.9204285312169,1135.3930386817567,1179.4343505250908,864.5520268826085,894.7806827152627,1008.0453712923039,1144.7060113384198,863.8804430830736,1060.7942556503288,711.2639760594055,,739.5016772763012
Qatar Grand Prix_2021,1697.7994344247966,1711.5526086798552,1014.0841208702288,1552.2437747012882,1385.6255952383435,1249.9963004183317,1391.5342537242327,1034.7586085338855,1220.456500055509,1346.4435428970046,1279.7985217724,1186.6478725781071,1096.1755930271668,958.7808135101653,905.3673683427593,1067.3579391427916,769.5742977169414,999.6027123430382,762.6760429782856,,722.2498250930043
Saudi Arabian Grand Prix_2021,1718.098490353287,1755.366790790069,1254.0640721939317,1192.2792910456549,1352.696602292404,1226.8336952694713,1379.0503263937449,1226.7041158057432,1301.553411384866,1190.040839253687,1386.305004816852,1031.6270947062724,1122.457852075434,969.7937593986802,810.339452824866,1004.4184782405868,907.2727405757774,1118.0464405029702,686.9077143337231,,718.8695537901148
Abu Dhabi Grand Prix_2021,1759.0418466660747,1760.4172287090887,1319.101628917592,1071.6192200205596,1452.6393308662814,1281.9694760975428,1288.8004805087762,1165.4340941945366,1368.7027078125548,1240.0917791955715,1319.1833451424563,1086.428700602803,1086.608312221076,1205.5359649837267,768.8049775046306,858.0982422674256,890.0972470062918,977.5351970721305,799.7471231780131,,652.8688230810042
